idx,gender,motionOnly,status
256,0,0,1
257,0,1,1
258,0,0,1
259,0,0,1
260,0,0,1
261,0,0,1
262,0,0,1
263,0,0,0
264,0,0,0
265,0,0,1
266,0,0,0
267,0,0,0
268,0,0,0
269,0,1,1
271,0,1,1
272,0,1,1
273,0,0,1
274,0,1,1
275,0,0,1
276,0,0,0
277,0,0,0
278,0,0,0
279,0,0,0
280,0,0,0
281,1,1,0
282,0,0,0
283,0,0,0
284,0,0,0
285,0,0,0
286,0,0,0
287,0,0,1
288,0,0,0
289,0,0,0
290,0,0,0
291,0,0,1
292,0,0,0
293,0,0,0
294,0,0,0
295,0,0,0
296,0,0,0
297,0,0,0
298,0,0,0
299,0,0,0
300,0,0,0
301,0,0,0
302,0,0,0
303,0,0,1
304,0,0,0
305,0,0,0
306,0,0,0
307,0,0,0
308,0,1,0
309,0,0,0
310,1,0,0
311,0,0,0
312,0,0,0
313,0,0,0
314,0,0,1
315,0,0,0
316,0,0,1
317,0,0,0
318,0,0,0
319,0,0,0
320,0,0,0
321,0,0,1
322,0,0,0
323,0,0,0
324,1,0,0
325,0,0,0
326,0,0,0
327,0,0,0
328,0,0,0
329,0,0,0
330,0,0,0
331,1,0,0
332,0,0,0
333,0,0,0
334,0,0,0
335,0,0,0
336,0,0,0
337,0,0,0
338,0,0,0
339,0,0,0
340,0,0,0
341,0,0,0
342,0,0,0
343,0,0,1
344,0,0,0
345,0,0,0
346,1,0,0
347,0,0,0
348,0,0,0
349,0,1,0
350,0,0,0
351,0,0,0
352,0,0,0
353,0,0,0
354,0,0,0
355,0,0,0
356,0,0,0
357,0,0,0
358,0,0,0
359,0,0,0
360,0,0,0
361,0,0,0
362,0,0,0
363,0,0,0
364,0,0,0
365,0,0,0
366,0,0,0
367,0,0,0
368,0,0,0
369,0,0,1
370,0,0,0
371,0,0,0
372,0,0,0
373,0,0,0
374,0,0,0
375,0,0,0
376,0,0,0
377,0,0,0
378,0,0,0
379,0,0,0
380,0,1,0
381,0,0,0
382,0,0,1
383,0,0,0
384,0,0,0
385,0,0,0
386,0,0,0
387,0,0,0
388,0,0,1
389,0,0,0
390,0,0,0
391,1,0,0
392,0,0,0
393,0,0,0
394,0,0,0
395,0,0,0
396,0,0,0
397,0,0,0
398,0,0,0
399,0,0,0
400,0,0,0
401,0,0,0
402,0,0,1
403,0,0,0
404,0,0,0
405,0,1,0
406,1,0,0
407,1,0,0
408,0,0,0
411,0,0,0
412,0,0,1
413,1,0,0
414,0,0,1
415,0,0,0
416,1,0,0
417,1,0,0
418,0,0,1
419,1,0,0
420,0,0,0
421,1,0,0
422,1,0,0
423,0,0,0
424,1,0,0
425,1,0,0
426,0,0,0
427,0,0,0
428,1,0,0
429,0,0,0
430,1,0,0
431,1,0,0
432,1,0,0
433,1,0,0
434,0,0,0
435,0,0,0
436,1,0,0
437,1,0,0
438,0,0,0
439,1,0,0
440,0,0,0
441,1,0,1
442,0,0,0
443,1,0,1
444,1,0,0
445,1,0,0
446,1,0,0
447,0,0,0
448,0,0,0
449,1,0,0
450,0,0,0
451,1,0,0
452,1,0,1
453,0,0,1
454,1,0,0
455,0,0,0
456,1,0,0
457,1,0,0
458,1,0,0
459,1,0,0
460,1,0,0
461,1,0,0
462,0,0,1
463,1,0,0
464,1,0,0
465,0,0,0
466,0,0,0
467,0,0,0
468,1,0,0
469,1,0,0
470,0,0,0
471,0,0,0
472,0,0,0
473,1,0,0
474,0,0,0
475,0,0,1
476,1,0,0
477,0,0,0
478,1,0,0
479,0,0,0
480,0,0,0
481,1,0,0
482,0,0,0
483,0,0,0
484,0,0,0
485,1,0,0
486,1,0,0
487,1,0,0
488,1,0,0
489,1,0,0
490,1,0,0
491,0,0,0
492,1,0,1
493,0,0,0
494,1,0,0
495,1,0,0
496,1,0,0
497,0,0,0
498,1,0,1
499,1,0,0
500,1,0,0
501,1,0,1
502,1,0,0
503,1,0,0
504,1,0,0
505,0,0,0
506,1,0,0
507,1,0,0
508,1,0,0
509,0,0,0
510,0,0,0
511,1,0,0
512,1,0,0
513,1,0,0
514,1,0,0
515,1,0,0
516,1,0,0
517,0,0,0
518,1,0,0
519,0,0,0
520,1,0,0
521,1,0,1
522,1,0,0
523,1,0,0
524,1,0,0
525,0,0,0
526,0,0,0
527,0,0,0
528,0,0,0
529,0,0,1
530,0,0,0
531,0,0,0
532,0,0,0
533,0,0,0
534,0,0,0
535,0,0,0
536,0,0,0
537,0,0,0
538,0,0,0
539,0,0,0
540,0,0,0
541,0,0,0
542,1,0,1
543,1,0,-1
544,0,0,0
545,1,0,0
546,1,0,1
547,0,0,1
548,1,0,1
549,1,0,0
550,1,0,0
551,0,0,0
552,1,0,0
553,0,0,0
554,1,0,0
555,1,0,0
556,1,0,0
557,1,0,0
558,1,0,0
559,1,0,0
560,0,0,0
561,1,0,0
562,0,0,0
563,1,0,0
564,0,0,0
565,0,0,1
566,1,0,1
567,0,0,1
568,0,0,1
569,1,0,1
570,0,0,0
571,1,0,0
572,1,0,0
573,0,0,0
574,1,0,0
575,1,0,1
576,0,0,1
577,1,0,1
578,1,0,1
579,0,0,0
580,1,0,0
581,0,0,0
582,1,0,0
583,1,0,0
584,0,0,0
585,0,0,0
586,1,0,0
587,0,0,0
588,0,0,0
589,0,0,0
590,1,0,0
591,1,0,0
592,0,0,0
593,1,0,0
594,1,0,1
595,1,0,0
596,0,0,0
597,0,0,0
598,1,0,0
599,1,0,0
600,1,0,0
601,1,0,0
602,1,0,0
603,0,0,0
604,1,0,0
605,1,0,0
606,0,0,0
607,1,0,0
608,0,0,0
609,0,0,0
610,1,0,0
611,0,0,1
612,1,0,0
613,1,0,0
614,1,0,0
615,1,0,0
616,1,0,0
617,0,0,0
618,1,0,0
619,1,0,0
620,1,0,0
621,0,0,0
622,0,0,0
623,1,0,0
624,1,0,0
625,1,0,1
626,0,0,0
627,0,0,0
628,1,0,0
629,0,0,0
630,0,0,0
631,1,0,0
632,0,0,0
633,1,0,0
634,0,0,0
635,1,0,0
636,1,0,0
637,0,0,0
638,1,0,0
639,1,0,0
640,0,0,1
641,1,0,0
642,1,0,0
643,1,0,0
644,0,0,0
645,0,0,0
646,1,0,0
647,0,0,0
648,0,0,0
649,0,0,0
650,1,0,0
651,0,0,0
652,1,0,0
653,0,0,0
654,0,0,0
655,1,0,0
656,0,0,0
657,0,0,1
658,1,0,0
659,1,0,0
660,0,0,0
661,1,0,0
662,0,0,0
663,0,0,1
664,1,0,0
665,0,0,0
666,0,0,0
667,0,0,0
668,0,0,0
669,1,0,0
670,1,0,0
671,0,0,0
672,1,0,0
673,0,0,0
674,1,0,0
675,0,0,0
676,1,0,0
677,0,0,0
678,1,0,0
679,1,0,0
680,1,0,0
681,1,0,0
682,0,0,0
683,0,0,0
684,1,0,1
685,1,0,0
686,1,0,0
687,1,0,0
688,0,0,0
689,1,0,0
691,0,0,0
692,1,0,0
693,0,0,0
694,0,0,0
695,1,0,1
696,1,0,0
697,0,0,0
698,0,0,1
699,1,0,0
700,0,0,0
701,1,0,0
702,1,0,0
703,1,0,0
704,0,0,0
705,1,0,0
706,0,0,0
707,1,0,0
708,1,0,0
709,0,0,0
710,1,0,0
711,0,0,0
712,0,0,0
713,1,0,1
714,0,0,0
715,0,0,0
716,0,0,0
717,1,0,-1
718,1,0,0
719,0,0,1
720,0,0,0
721,1,0,0
722,0,0,0
723,0,0,0
724,1,0,0
725,1,0,0
726,1,0,0
727,1,0,0
728,0,0,0
729,0,0,1
730,1,0,0
731,1,0,0
732,0,0,1
733,0,0,0
734,1,0,0
735,1,0,0
736,1,0,0
737,0,0,0
738,0,0,0
739,1,0,1
740,0,0,1
741,1,0,0
742,1,0,0
743,0,0,0
744,0,0,0
745,1,0,0
746,0,0,1
747,1,0,1
748,0,0,0
749,1,0,1
750,0,0,0
751,1,0,0
752,1,0,0
753,1,0,0
754,0,0,0
755,1,0,0
756,0,0,0
757,1,0,0
758,0,0,0
759,0,0,0
760,1,0,0
761,1,0,0
762,0,0,0
763,0,0,0
764,0,0,1
765,1,0,0
766,1,0,0
767,1,0,0
768,1,0,0
769,0,0,0
770,0,0,0
771,1,0,0
772,0,0,0
773,0,0,1
774,0,0,0
775,0,0,0
776,1,0,0
777,1,0,0
778,1,0,0
779,1,0,0
780,1,0,0
781,0,0,0
782,0,0,0
783,0,0,0
784,0,0,0
785,0,0,0
786,0,0,0
787,1,0,0
788,0,0,0
789,0,0,0
790,1,0,0
791,1,0,0
792,0,0,0
793,0,0,0
794,1,0,0
795,1,0,0
796,0,0,0
797,0,0,0
798,0,0,0
799,0,0,0
800,0,0,0
801,0,0,0
802,0,0,0
803,0,0,0
804,1,0,0
805,1,0,0
806,0,0,0
807,1,0,0
808,1,0,0
809,0,0,0
810,0,0,0
811,0,0,0
812,1,0,0
813,0,0,0
814,0,0,0
815,0,0,0
816,0,0,0
817,0,0,0
818,0,0,0
819,0,0,0
820,0,0,0
821,0,0,0
822,0,0,0
823,0,0,0
824,0,0,0
825,0,0,0
826,0,0,0
827,0,0,0
828,0,0,0
829,0,0,0
830,1,0,0
831,0,0,0
832,0,0,0
833,0,0,0
834,0,0,0
835,0,0,0
836,0,0,0
837,1,0,0
838,1,0,0
839,0,0,0
840,1,0,0
841,0,0,0
842,0,0,0
843,0,0,0
844,0,0,0
845,0,0,0
846,0,0,0
847,1,0,0
848,0,0,0
849,0,0,0
850,0,0,0
851,0,0,0
852,0,0,0
853,0,0,0
854,0,0,0
855,0,0,0
856,0,0,0
857,0,0,0
858,0,0,0
859,0,0,0
860,0,0,0
861,0,0,0
862,0,0,0
863,0,0,0
864,0,0,0
865,0,0,0
866,1,0,0
867,1,0,0
868,1,0,0
869,0,0,1
870,0,0,0
871,1,0,0
872,0,0,0
873,0,0,0
874,0,0,0
875,0,0,0
876,0,0,0
877,1,0,0
878,1,0,0
879,0,0,0
880,0,0,0
881,0,0,0
882,0,0,0
883,1,0,0
884,0,0,0
885,0,0,0
886,0,0,0
887,1,0,0
888,0,0,0
889,0,0,0
890,1,0,0
891,1,0,0
892,0,0,0
893,1,0,0
894,1,0,0
895,1,0,0
896,0,0,0
897,0,0,0
898,1,0,0
899,0,0,0
900,1,0,0
901,1,0,0
902,1,0,0
903,1,0,0
904,1,0,0
905,0,0,0
906,0,0,0
907,0,0,0
908,0,0,0
909,0,0,0
910,0,0,0
911,0,0,0
912,0,0,0
913,1,0,0
914,0,0,0
915,0,0,0
916,0,0,0
917,0,0,0
918,0,0,0
919,1,0,0
920,0,0,0
921,0,0,0
922,0,0,0
923,0,0,0
924,0,0,0
925,0,0,0
926,0,0,0
927,1,0,0
928,1,0,0
929,0,0,0
930,0,0,0
931,0,0,0
932,0,0,0
933,0,0,0
934,0,0,0
935,0,0,0
936,0,0,0
937,0,0,0
938,0,0,0
939,0,0,0
940,0,0,0
941,0,0,0
942,0,0,0
943,0,0,0
944,1,0,0
945,0,0,0
946,0,0,0
947,0,0,0
948,1,0,0
949,0,0,0
950,0,0,0
951,0,0,0
952,1,0,0
953,1,0,-1
954,0,0,0
955,1,0,0
956,0,0,0
957,0,0,0
958,0,0,0
959,0,0,0
960,0,0,0
961,0,0,0
962,0,0,0
963,0,0,0
964,0,0,0
965,0,0,0
966,0,0,0
967,0,0,0
968,0,0,0
969,0,0,0
970,0,0,0
971,0,0,0
972,1,0,0
973,1,0,0
974,0,0,0
975,0,0,0
976,1,0,0
977,0,0,0
978,0,0,0
979,1,0,0
980,0,0,0
981,0,0,0
982,1,0,0
983,0,0,0
984,1,0,0
985,0,0,0
986,1,0,0
987,0,0,0
988,1,0,0
989,0,0,0
990,1,0,0
991,1,0,0
992,0,0,0
993,1,0,0
994,0,0,0
995,1,0,0
996,0,0,0
997,0,0,0
998,0,0,0
999,0,0,0
1000,0,0,0
1001,0,0,0
1002,0,0,0
1003,1,0,0
1004,1,0,0
1005,0,0,0
1006,1,0,0
1007,0,0,0
1008,1,0,0
1009,0,0,0
1010,1,0,0
1011,0,0,0
1013,1,0,0
1014,0,0,0
1015,0,0,0
1016,1,0,0
1017,0,0,0
1018,0,0,0
1019,0,0,0
1020,0,0,0
1021,1,0,0
1022,0,0,0
1023,1,0,0
1024,0,0,0
1025,0,0,0
1026,0,0,0
1027,1,0,0
1028,0,0,0
1029,0,0,0
1030,0,0,0
1031,1,0,1
1032,0,0,0
1033,0,0,0
1034,1,0,0
1035,0,0,0
1036,1,0,0
1037,0,0,0
1038,0,0,0
1039,0,0,0
1040,0,0,0
1041,1,0,0
1042,0,0,0
1043,0,0,0
1044,0,0,0
1045,0,0,0
1046,0,0,0
1047,0,0,0
1048,1,0,0
1049,0,0,0
1050,0,0,0
1051,0,0,0
1052,1,0,0
1053,1,0,0
1054,0,0,0
1055,0,0,0
1056,0,0,0
1057,0,0,0
1058,0,0,0
1059,0,0,0
1060,0,0,0
1061,0,0,0
1062,1,0,0
1063,0,0,0
1064,0,0,0
1065,0,0,0
1066,0,0,0
1067,0,0,0
1068,0,0,0
1069,1,0,0
1070,0,0,0
1075,1,0,0
1076,0,0,0
1077,0,0,1
1078,0,0,0
1079,0,0,0
1080,0,0,0
1081,0,0,0
1082,0,0,0
1083,1,0,0
1084,1,0,0
1085,0,0,0
1086,0,0,0
1087,0,0,0
1088,0,0,0
1089,0,0,0
1090,0,0,0
1091,0,0,0
1092,1,0,0
1093,0,0,0
1094,0,0,0
1095,0,0,0
1096,0,0,0
1097,0,0,0
1098,0,0,0
1099,0,0,0
1100,0,0,0
1101,1,0,0
1102,1,0,0
1103,1,0,0
1104,0,0,0
1105,0,0,0
1106,0,0,0
1113,0,0,0
1117,0,0,0
1118,0,0,1
1121,1,0,0
1122,1,0,-1
1123,0,0,0
1124,1,0,0
1125,0,0,0
1126,1,0,0
1127,0,0,0
1128,0,0,0
1129,0,0,0
1130,1,0,0
1131,0,0,0
1132,0,0,0
1133,0,0,0
1134,0,0,0
1135,1,0,0
1136,1,0,0
1137,0,0,0
1138,1,0,0
1139,1,0,0
1140,0,0,0
1141,0,0,0
1142,1,0,0
1143,1,0,0
1144,1,0,0
1145,1,0,0
1146,1,0,0
1147,1,0,0
1148,1,0,0
1149,1,0,0
1150,1,0,0
1151,0,0,1
1152,0,0,1
1153,0,0,1
1154,0,0,1
1155,0,0,1
1156,0,0,1
1157,0,0,1
1158,0,0,1
1159,0,0,1
1160,0,0,0
1161,0,0,1
1162,0,0,1
1163,0,0,1
1164,0,0,1
1165,0,0,1
1166,0,0,0
1167,1,0,0
1168,0,0,0
1169,0,0,0
1170,0,0,0
1171,0,0,0
1172,0,0,0
1173,0,0,0
1174,0,0,0
1175,0,0,0
1176,0,0,0
1177,0,0,0
1178,0,0,0
1179,0,0,0
1180,0,0,0
1181,0,0,0
1182,0,0,0
1183,1,0,0
1184,0,0,0
1185,0,0,0
1186,1,0,0
1187,0,0,0
1188,0,0,0
1189,0,0,0
1190,0,0,0
1191,0,0,0
1192,0,0,0
1193,1,0,0
1194,1,0,0
1195,1,0,0
1196,1,0,0
1197,1,0,0
1198,0,0,0
1199,1,0,0
1200,0,0,0
1201,0,0,0
1202,1,0,0
1203,1,0,0
1204,1,0,0
1205,0,0,0
1206,0,0,0
1207,1,0,0
1208,1,0,0
1209,1,0,0
1210,1,0,0
1211,0,0,0
1212,0,0,-1
1213,1,0,0
1214,1,0,0
1215,0,0,0
1216,1,0,0
1217,1,0,0
1218,0,0,0
1219,1,0,0
1220,0,0,0
1221,1,0,0
1222,1,0,0
1223,1,0,0
1224,0,0,0
1225,1,0,0
1226,1,0,0
1227,1,0,0
1228,0,0,0
1229,1,0,0
1230,1,0,0
1231,1,0,0
1232,0,0,0
1233,1,0,0
1234,1,0,0
1235,0,0,0
1236,1,0,0
1237,1,0,0
1238,1,0,0
1239,0,0,0
1240,1,0,0
1241,1,0,0
1242,1,0,0
1243,0,0,0
1244,0,0,0
1245,0,0,0
1246,1,0,0
1247,0,0,0
1248,0,0,0
1249,1,0,0
1250,1,0,0
1251,1,0,0
1252,1,0,0
1253,1,0,-1
1254,1,0,0
1255,0,0,0
1256,1,0,0
1257,1,0,0
1258,0,0,0
1259,0,0,0
1260,1,0,0
1261,0,0,0
1262,0,0,0
1263,1,0,0
1264,1,0,0
1265,1,0,0
1266,0,0,0
1267,1,0,0
1268,0,0,0
1269,0,0,0
1270,1,0,0
1271,1,0,0
1272,1,0,0
1273,1,0,0
1274,1,0,0
1275,1,0,0
